id,url,precio,Actualizacion,Orden,ConcesionarioVW
1315753501,https://auto.mercadolibre.com.ar/MLA-1315753501-volkswagen-amarok-highline-0km-4x4-manual-vw-precio-nueva-a2-_JM#position=1&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11750001,31/12/22,795,Alra
1315734145,https://auto.mercadolibre.com.ar/MLA-1315734145-volkswagen-amarok-highline-0km-4x4-manual-vw-precio-nueva-a1-_JM#position=2&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11750000,31/12/22,795,Alra
1315650729,https://auto.mercadolibre.com.ar/MLA-1315650729-volkswagen-polo-0km-trendline-manual-0km-precio-autos-vw-a3-_JM#position=3&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,5050002,31/12/22,343,Alra
1315734117,https://auto.mercadolibre.com.ar/MLA-1315734117-volkswagen-polo-0km-trendline-manual-0km-precio-autos-vw-a2-_JM#position=4&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,5050001,31/12/22,343,Alra
1315734112,https://auto.mercadolibre.com.ar/MLA-1315734112-volkswagen-polo-0km-trendline-manual-0km-precio-autos-vw-a1-_JM#position=5&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,5050000,31/12/22,343,Alra
1313974054,https://auto.mercadolibre.com.ar/MLA-1313974054-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p7-_JM#position=6&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450001,31/12/22,850,Alra
1313941643,https://auto.mercadolibre.com.ar/MLA-1313941643-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p6-_JM#position=7&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450002,31/12/22,850,Alra
1314445144,https://auto.mercadolibre.com.ar/MLA-1314445144-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p5-_JM#position=8&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450003,31/12/22,850,Alra
1313954590,https://auto.mercadolibre.com.ar/MLA-1313954590-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p4-_JM#position=9&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450004,31/12/22,850,Alra
1313928494,https://auto.mercadolibre.com.ar/MLA-1313928494-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p3-_JM#position=10&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450005,31/12/22,850,Alra
1313935075,https://auto.mercadolibre.com.ar/MLA-1313935075-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p2-_JM#position=11&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450006,31/12/22,850,Alra
1313941561,https://auto.mercadolibre.com.ar/MLA-1313941561-volkswagen-amarok-v6-0km-comfortline-nueva-precio-full-vw-p1-_JM#position=12&search_layout=grid&type=item&tracking_id=8a84eb89-5541-4739-a092-8397b063baa1,11450007,31/12/22,850,Alra
